Sentença;Entidade 1;Tipo Entidade 1;Relacao;Entidade 2;Tipo Entidade 2
A Kroton anunciou uma parceria com o Cubo Itaú , que dará origem à vertical “Cubo Education” , um espaço dedicado ao fomento de edtechs – tecnologia aplicada à educação .;Kroton;ORG;anunciou uma parceria com;Cubo Itaú;ORG
O evento Summit AgriHub reuniu nesta quinta-feira (19/04) , em Cuiabá , produtores rurais vindos de vários municípios de Mato Grosso , pesquisadores e empresas de tecnologias do Brasil para debater as novidades incorporadas aos sistemas de produção .;Summit AgriHub;ORG;reuniu em;Cuiabá;PLC
O evento Summit AgriHub reuniu nesta quinta-feira (19/04) , em Cuiabá , produtores rurais vindos de vários municípios de Mato Grosso , pesquisadores e empresas de tecnologias do Brasil para debater as novidades incorporadas aos sistemas de produção .;Summit AgriHub;ORG;;Mato Grosso;PLC
O evento Summit AgriHub reuniu nesta quinta-feira (19/04) , em Cuiabá , produtores rurais vindos de vários municípios de Mato Grosso , pesquisadores e empresas de tecnologias do Brasil para debater as novidades incorporadas aos sistemas de produção .;Summit AgriHub;ORG;;Brasil;PLC
Ousuário consegue comparar prazos , condições , juros dessa modalidade de crédito de diversosbancos , como Bradesco , Banco do Brasil , Itaú , Safra , e faz a contratação ali mesmo , de acordocom a sua necessidde.Pr a os bancos , a plataforma é um meio de atração de clientes , mas principalmente , umdegrau para acelerar a corrida pela digitalização de serviços .;Bradesco;ORG;;Banco do Brasil;ORG
Ousuário consegue comparar prazos , condições , juros dessa modalidade de crédito de diversosbancos , como Bradesco , Banco do Brasil , Itaú , Safra , e faz a contratação ali mesmo , de acordocom a sua necessidde.Pr a os bancos , a plataforma é um meio de atração de clientes , mas principalmente , umdegrau para acelerar a corrida pela digitalização de serviços .;Bradesco;ORG;;Itaú;ORG
Ousuário consegue comparar prazos , condições , juros dessa modalidade de crédito de diversosbancos , como Bradesco , Banco do Brasil , Itaú , Safra , e faz a contratação ali mesmo , de acordocom a sua necessidde.Pr a os bancos , a plataforma é um meio de atração de clientes , mas principalmente , umdegrau para acelerar a corrida pela digitalização de serviços .;Bradesco;ORG;;Safra;ORG
Ousuário consegue comparar prazos , condições , juros dessa modalidade de crédito de diversosbancos , como Bradesco , Banco do Brasil , Itaú , Safra , e faz a contratação ali mesmo , de acordocom a sua necessidde.Pr a os bancos , a plataforma é um meio de atração de clientes , mas principalmente , umdegrau para acelerar a corrida pela digitalização de serviços .;Banco do Brasil;ORG;;Itaú;ORG
Ousuário consegue comparar prazos , condições , juros dessa modalidade de crédito de diversosbancos , como Bradesco , Banco do Brasil , Itaú , Safra , e faz a contratação ali mesmo , de acordocom a sua necessidde.Pr a os bancos , a plataforma é um meio de atração de clientes , mas principalmente , umdegrau para acelerar a corrida pela digitalização de serviços .;Banco do Brasil;ORG;;Safra;ORG
Ousuário consegue comparar prazos , condições , juros dessa modalidade de crédito de diversosbancos , como Bradesco , Banco do Brasil , Itaú , Safra , e faz a contratação ali mesmo , de acordocom a sua necessidde.Pr a os bancos , a plataforma é um meio de atração de clientes , mas principalmente , umdegrau para acelerar a corrida pela digitalização de serviços .;Itaú;ORG;;Safra;ORG
"Agrotools promove painel sobre transformação digital do seguro rural e o crédito no agronegócio; evento é restrito a convidados O que o setor de fintech tem a ver com o AgTech ?";Agrotools;ORG;;AgTech;ORG
O AgFinTech – A Nova Era do Seguro e Crédito Rural vai reunir , na Casa do Saber , em São Paulo , especialistas de instituições financeiras , além de representante do Banco Central , para falar sobre temas como a Resolução 4.42 7 do BACEN , que permite a utilização do sensoriamento remoto para fins de fiscalização de operações de crédito rural .;AgFinTech;ORG;vai reunir em ;Casa do Saber;PLC
O AgFinTech – A Nova Era do Seguro e Crédito Rural vai reunir , na Casa do Saber , em São Paulo , especialistas de instituições financeiras , além de representante do Banco Central , para falar sobre temas como a Resolução 4.42 7 do BACEN , que permite a utilização do sensoriamento remoto para fins de fiscalização de operações de crédito rural .;AgFinTech;ORG;em;São Paulo;PLC
O AgFinTech – A Nova Era do Seguro e Crédito Rural vai reunir , na Casa do Saber , em São Paulo , especialistas de instituições financeiras , além de representante do Banco Central , para falar sobre temas como a Resolução 4.42 7 do BACEN , que permite a utilização do sensoriamento remoto para fins de fiscalização de operações de crédito rural .;AgFinTech;ORG;;Banco Central;ORG
O AgFinTech – A Nova Era do Seguro e Crédito Rural vai reunir , na Casa do Saber , em São Paulo , especialistas de instituições financeiras , além de representante do Banco Central , para falar sobre temas como a Resolução 4.42 7 do BACEN , que permite a utilização do sensoriamento remoto para fins de fiscalização de operações de crédito rural .;Banco Central;ORG;;Casa do Saber;PLC
O AgFinTech – A Nova Era do Seguro e Crédito Rural vai reunir , na Casa do Saber , em São Paulo , especialistas de instituições financeiras , além de representante do Banco Central , para falar sobre temas como a Resolução 4.42 7 do BACEN , que permite a utilização do sensoriamento remoto para fins de fiscalização de operações de crédito rural .;Banco Central;ORG;;São Paulo;PLC
Após três meses , a regulação não gerou um impacto imediato nos negócios , mas deve garantir maior autonomia às fintechs , segundo Sergio Furio , fundador de uma das maiores fintechs de crédito do País , a Creditas , que oferece crédito com garantia de imóvel e automóvel .;Creditas;ORG;fundador de uma das maiores fintechs de crédito do País;Sergio Furio;PER
Após três meses , a regulação não gerou um impacto imediato nos negócios , mas deve garantir maior autonomia às fintechs , segundo Sergio Furio , fundador de uma das maiores fintechs de crédito do País , a Creditas , que oferece crédito com garantia de imóvel e automóvel .;Creditas;ORG;;País;PLC
Nossa meta é alcançar 10 mil empréstimos por mês” , contou Mellissa Penteado , CEO do Bancoin .;CEO;ORG;;Mellissa Penteado;PER
Nossa meta é alcançar 10 mil empréstimos por mês” , contou Mellissa Penteado , CEO do Bancoin .;CEO;ORG;de;Bancoin;ORG
Nossa meta é alcançar 10 mil empréstimos por mês” , contou Mellissa Penteado , CEO do Bancoin .;Bancoin;ORG;CEO de;Mellissa Penteado;PER
Uma pesquisa realizada pelo Sebrae em parceria com a Associação Brasileira de Fintechs (ABFintechs ) revelou que as micro e pequenas empresas , definidas desta forma por serem negócios que faturam até R$ 4, 8 milhões por ano , formam a maior parte da carteira de clientes de 40% das fintechs do país. O trabalho revelou também que menos de 15% das startups financeiras trabalham exclusivamente com o consumidor (B2C) .;Sebrae;ORG;;Associação Brasileira de Fintechs (ABFintechs;ORG
A Pesquisa FinTech Deep Dive 2018 , feita pela Associação Brasileira de Fintechs (A B Fintechs ) e pela consultoria PwC Brasil , divulgada esta semana , registrou otimismo das startups financeiras .;Associação Brasileira de Fintechs (A B Fintechs;ORG;;PwC Brasil;ORG
A Agrimart catalisa os processos de compra e venda de produtos agrícolas (co m foco em hortifrúti ) por meio de uma plataforma web de e-Procurement para os compradores e de um chatbot negociador (Whatsapp ) para os produtores. A AgriMart usa tecnologia de ponta para viabilizar uma comunicação acessível e simples com o produtor rural , tendo em vista a negociação/compra dos seus produtos : um chatbot via Whatsapp .;Agrimart;ORG;;AgriMart;ORG
Realizado no Lounge Plant , o debate contou com a participação de Percival Lucena , pesquisador da IBM , Fernando Martins , conselheiro da Jacto e de startups AgTech , e Rodrigo Iafelice dos Santos , presidente da Ennexas Agribusiness .;IBM;ORG;pesquisador de;Percival Lucena;PER
Realizado no Lounge Plant , o debate contou com a participação de Percival Lucena , pesquisador da IBM , Fernando Martins , conselheiro da Jacto e de startups AgTech , e Rodrigo Iafelice dos Santos , presidente da Ennexas Agribusiness .;IBM;ORG;;Fernando Martins;PER
Realizado no Lounge Plant , o debate contou com a participação de Percival Lucena , pesquisador da IBM , Fernando Martins , conselheiro da Jacto e de startups AgTech , e Rodrigo Iafelice dos Santos , presidente da Ennexas Agribusiness .;IBM;ORG;;Jacto;ORG
Realizado no Lounge Plant , o debate contou com a participação de Percival Lucena , pesquisador da IBM , Fernando Martins , conselheiro da Jacto e de startups AgTech , e Rodrigo Iafelice dos Santos , presidente da Ennexas Agribusiness .;IBM;ORG;;AgTech;ORG
Realizado no Lounge Plant , o debate contou com a participação de Percival Lucena , pesquisador da IBM , Fernando Martins , conselheiro da Jacto e de startups AgTech , e Rodrigo Iafelice dos Santos , presidente da Ennexas Agribusiness .;IBM;ORG;;Rodrigo Iafelice dos Santos;PER
Realizado no Lounge Plant , o debate contou com a participação de Percival Lucena , pesquisador da IBM , Fernando Martins , conselheiro da Jacto e de startups AgTech , e Rodrigo Iafelice dos Santos , presidente da Ennexas Agribusiness .;IBM;ORG;;Ennexas Agribusiness;ORG
Realizado no Lounge Plant , o debate contou com a participação de Percival Lucena , pesquisador da IBM , Fernando Martins , conselheiro da Jacto e de startups AgTech , e Rodrigo Iafelice dos Santos , presidente da Ennexas Agribusiness .;Jacto;ORG;;Percival Lucena;PER
Realizado no Lounge Plant , o debate contou com a participação de Percival Lucena , pesquisador da IBM , Fernando Martins , conselheiro da Jacto e de startups AgTech , e Rodrigo Iafelice dos Santos , presidente da Ennexas Agribusiness .;Jacto;ORG;conselheiro de;Fernando Martins;PER
Realizado no Lounge Plant , o debate contou com a participação de Percival Lucena , pesquisador da IBM , Fernando Martins , conselheiro da Jacto e de startups AgTech , e Rodrigo Iafelice dos Santos , presidente da Ennexas Agribusiness .;Jacto;ORG;;AgTech;ORG
Realizado no Lounge Plant , o debate contou com a participação de Percival Lucena , pesquisador da IBM , Fernando Martins , conselheiro da Jacto e de startups AgTech , e Rodrigo Iafelice dos Santos , presidente da Ennexas Agribusiness .;Jacto;ORG;;Rodrigo Iafelice dos Santos;PER
Realizado no Lounge Plant , o debate contou com a participação de Percival Lucena , pesquisador da IBM , Fernando Martins , conselheiro da Jacto e de startups AgTech , e Rodrigo Iafelice dos Santos , presidente da Ennexas Agribusiness .;Jacto;ORG;;Ennexas Agribusiness;ORG
Realizado no Lounge Plant , o debate contou com a participação de Percival Lucena , pesquisador da IBM , Fernando Martins , conselheiro da Jacto e de startups AgTech , e Rodrigo Iafelice dos Santos , presidente da Ennexas Agribusiness .;AgTech;ORG;;Percival Lucena;PER
Realizado no Lounge Plant , o debate contou com a participação de Percival Lucena , pesquisador da IBM , Fernando Martins , conselheiro da Jacto e de startups AgTech , e Rodrigo Iafelice dos Santos , presidente da Ennexas Agribusiness .;AgTech;ORG;;Fernando Martins;PER
Realizado no Lounge Plant , o debate contou com a participação de Percival Lucena , pesquisador da IBM , Fernando Martins , conselheiro da Jacto e de startups AgTech , e Rodrigo Iafelice dos Santos , presidente da Ennexas Agribusiness .;AgTech;ORG;;Rodrigo Iafelice dos Santos;PER
Realizado no Lounge Plant , o debate contou com a participação de Percival Lucena , pesquisador da IBM , Fernando Martins , conselheiro da Jacto e de startups AgTech , e Rodrigo Iafelice dos Santos , presidente da Ennexas Agribusiness .;AgTech;ORG;;Ennexas Agribusiness;ORG
Realizado no Lounge Plant , o debate contou com a participação de Percival Lucena , pesquisador da IBM , Fernando Martins , conselheiro da Jacto e de startups AgTech , e Rodrigo Iafelice dos Santos , presidente da Ennexas Agribusiness .;Ennexas Agribusiness;ORG;;Percival Lucena;PER
Realizado no Lounge Plant , o debate contou com a participação de Percival Lucena , pesquisador da IBM , Fernando Martins , conselheiro da Jacto e de startups AgTech , e Rodrigo Iafelice dos Santos , presidente da Ennexas Agribusiness .;Ennexas Agribusiness;ORG;;Fernando Martins;PER
